state,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_2017,sat_ebrw_2017,sat_math_2017,sat_total_2017,act_participation_2018,act_composite_2018,act_english_2018,act_math_2018,act_reading_2018,act_science_2018,sat_participation_2018,sat_ebrw_2018,sat_math_2018,sat_total_2018,sat_participation_pct_change,act_participation_pct_change,median_income_2017,population_2017,population_2018,state_subsidies,state_requirement
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,5.0,593,572,1165,100.0,19.1,18.9,18.3,19.6,19.0,6.0,595,571,1166,1.0,0.0,48123,4874486,4887681,ACT,ACT
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,38.0,547,533,1080,33.0,20.8,19.8,20.6,21.6,20.7,43.0,562,544,1106,5.0,-32.0,73181,739700,735139,no subsidies,no requirement
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,30.0,563,553,1116,66.0,19.2,18.2,19.4,19.5,19.2,29.0,577,572,1149,-1.0,4.0,56581,7044008,7158024,no subsidies,no requirement
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,3.0,614,594,1208,100.0,19.4,19.1,18.9,19.7,19.4,5.0,592,576,1169,2.0,0.0,45869,3001345,3009733,ACT,ACT
California,31.0,22.5,22.7,23.1,22.2,22.8,53.0,531,524,1055,27.0,22.7,22.5,22.5,23.0,22.1,60.0,540,536,1076,7.0,-4.0,71805,39358497,39461588,no subsidies,no requirement
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,11.0,606,595,1201,30.0,23.9,23.9,23.2,24.4,23.5,100.0,519,506,1025,89.0,-70.0,69117,5611885,5691287,SAT,SAT
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,100.0,530,512,1041,26.0,25.6,26.0,24.8,26.1,24.9,100.0,535,519,1053,0.0,-5.0,74168,3573297,3571520,SAT,SAT
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,100.0,503,492,996,17.0,23.2,23.7,23.1,24.5,23.4,100.0,505,492,998,0.0,-1.0,62852,956823,965479,SAT,SAT
District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,100.0,482,468,950,32.0,23.6,23.7,22.7,24.4,23.0,92.0,497,480,977,-8.0,0.0,82372,694906,701547,SAT,SAT
Florida,73.0,19.0,19.4,21.0,19.4,19.8,83.0,520,497,1017,66.0,19.9,19.2,19.3,21.1,19.5,56.0,550,549,1099,-27.0,-7.0,52594,20963613,21244317,no subsidies,no requirement
