state,population_2017,population_2018
Alabama,4874486,4887681
Alaska,739700,735139
Arizona,7044008,7158024
Arkansas,3001345,3009733
California,39358497,39461588
Colorado,5611885,5691287
Connecticut,3573297,3571520
Delaware,956823,965479
District of Columbia,694906,701547
Florida,20963613,21244317
Georgia,10410330,10511131
Hawaii,1424393,1420593
Idaho,1717715,1750536
Illinois,12778828,12723071
Indiana,6658078,6695497
Iowa,3141550,3148618
Kansas,2908718,2911359
Kentucky,4452268,4461153
Louisiana,4670560,4659690
Maine,1334612,1339057
Maryland,6023868,6035802
Massachusetts,6859789,6882635
Michigan,9973114,9984072
Minnesota,5566230,5606249
Mississippi,2988510,2981020
Missouri,6106670,6121623
Montana,1052482,1060665
Nebraska,1915947,1925614
Nevada,2969905,3027341
New Hampshire,1348787,1353465
New Jersey,8885525,8886025
New Mexico,2091784,2092741
New York,19589572,19530351
North Carolina,10268233,10381615
North Dakota,754942,758080
Ohio,11659650,11676341
Oklahoma,3931316,3940235
Oregon,4143625,4181886
Pennsylvania,12787641,12800922
Rhode Island,1055673,1058287
South Carolina,5021268,5084156
South Dakota,872868,878698
Tennessee,6708799,6771631
Texas,28295273,28628666
Utah,3101042,3153550
Vermont,624344,624358
Virginia,8463587,8501286
Washington,7423362,7523869
West Virginia,1817004,1804291
Wisconsin,5790186,5807406
Wyoming,578931,577601
